step_arrived;step_collisions;step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_stopped;step_teleports;step_time;step_waiting
0;0;1674569496303;0;41;143;489;8.04;0.58;-1.00;0.02;143;0;0;57.00;0
0;0;1674569496304;0;42;146;489;7.86;0.57;-1.00;0.02;146;0;0;58.00;0
0;0;1674569496304;0;40;147;489;7.92;0.57;-1.00;0.02;147;0;0;59.00;0
0;0;1674569496305;0;42;151;489;7.86;0.57;-1.00;0.02;151;0;0;60.00;0
0;0;1674569496305;0;36;151;489;8.06;0.58;-1.00;0.02;151;0;0;61.00;0
0;0;1674569496306;0;39;154;489;8.06;0.58;-1.00;0.02;154;0;0;62.00;0
0;0;1674569496307;0;37;158;489;8.07;0.58;-1.00;0.02;158;0;0;63.00;0
0;0;1674569496308;0;34;160;489;8.15;0.59;-1.00;0.02;160;0;0;64.00;0
0;0;1674569496309;0;36;162;489;8.29;0.60;-1.00;0.02;162;0;0;65.00;0
0;0;1674569496310;0;38;165;489;8.37;0.60;-1.00;0.02;165;0;0;66.00;0
0;0;1674569496312;0;37;166;489;8.45;0.61;-1.00;0.02;166;0;0;67.00;0
0;0;1674569496313;0;39;169;489;8.36;0.60;-1.00;0.02;169;0;0;68.00;1
0;0;1674569496314;0;39;170;489;8.38;0.60;-1.00;0.02;170;0;0;69.00;0
0;0;1674569496315;0;44;172;489;8.36;0.60;-1.00;0.02;172;0;0;70.00;1
0;0;1674569496316;0;47;174;489;8.24;0.59;-1.00;0.02;174;0;0;71.00;1
0;0;1674569496317;0;51;179;489;7.99;0.58;-1.00;0.02;179;0;0;72.00;1
0;0;1674569496318;0;52;182;489;7.85;0.57;-1.00;0.04;182;0;0;73.00;0
0;0;1674569496319;0;52;184;489;7.81;0.56;-1.00;0.04;184;0;0;74.00;0
1;0;1674569496320;1;58;186;489;7.73;0.56;73.00;0.04;185;0;0;75.00;0
2;0;1674569496322;2;59;187;489;7.81;0.56;74.50;0.04;185;0;0;76.00;0
2;0;1674569496323;2;61;191;489;7.84;0.56;74.50;0.04;189;0;0;77.00;0
3;0;1674569496324;3;61;193;489;7.75;0.56;74.33;0.04;190;0;0;78.00;0
3;0;1674569496325;3;60;195;489;7.69;0.55;74.33;0.04;192;0;0;79.00;0
4;0;1674569496327;4;58;196;489;7.65;0.55;72.00;0.04;192;0;0;80.00;0
5;0;1674569496328;5;63;199;489;7.54;0.54;73.80;0.04;194;0;0;81.00;0
5;0;1674569496329;5;63;203;489;7.50;0.54;73.80;0.03;198;0;0;82.00;0
5;0;1674569496330;5;61;205;489;7.50;0.54;73.80;0.03;200;0;0;83.00;0
6;0;1674569496331;6;63;206;489;7.54;0.54;72.00;0.03;200;0;0;84.00;0
6;0;1674569496333;6;68;208;489;7.55;0.54;72.00;0.03;202;0;0;85.00;1
7;0;1674569496334;7;70;210;489;7.58;0.55;73.43;0.03;203;0;0;86.00;1
8;0;1674569496335;8;73;213;489;7.54;0.54;70.88;0.04;205;0;0;87.00;1
9;0;1674569496337;9;71;215;489;7.44;0.54;70.22;0.04;206;0;0;88.00;1
9;0;1674569496338;9;71;217;489;7.46;0.54;70.22;0.05;208;0;0;89.00;0
9;0;1674569496339;9;70;219;489;7.42;0.53;70.22;0.05;210;0;0;90.00;0
10;0;1674569496341;10;70;222;489;7.41;0.53;72.30;0.05;212;0;0;91.00;0
10;0;1674569496343;10;69;225;489;7.37;0.53;72.30;0.05;215;0;0;92.00;0
11;0;1674569496344;11;65;226;489;7.47;0.54;72.45;0.05;215;0;0;93.00;0
11;0;1674569496346;11;66;228;489;7.53;0.54;72.45;0.05;217;0;0;94.00;0
12;0;1674569496347;12;64;230;489;7.52;0.54;73.58;0.05;218;0;0;95.00;0
14;0;1674569496349;14;64;232;489;7.47;0.54;74.00;0.05;218;0;0;96.00;0
14;0;1674569496350;14;66;236;489;7.40;0.53;74.00;0.05;222;0;0;97.00;0
15;0;1674569496351;15;62;237;489;7.38;0.53;73.60;0.05;222;0;0;98.00;0
15;0;1674569496352;15;62;239;489;7.44;0.54;73.60;0.05;224;0;0;99.00;0
16;0;1674569496353;16;56;241;489;7.55;0.54;73.25;0.05;225;0;0;100.00;0
18;0;1674569496354;18;55;243;489;7.73;0.56;72.61;0.05;225;0;0;101.00;0
18;0;1674569496355;18;54;245;489;7.86;0.57;72.61;0.04;227;0;0;102.00;0
19;0;1674569496356;19;56;250;489;7.89;0.57;73.21;0.04;231;0;0;103.00;0
19;0;1674569496357;19;50;251;489;8.22;0.59;73.21;0.04;232;0;0;104.00;0
20;0;1674569496358;20;50;252;489;8.42;0.61;73.95;0.04;232;0;0;105.00;0
20;0;1674569496360;20;49;254;489;8.52;0.61;73.95;0.04;234;0;0;106.00;0
21;0;1674569496361;21;51;259;489;8.56;0.62;73.81;0.04;238;0;0;107.00;0
21;0;1674569496362;21;50;261;489;8.77;0.63;73.81;0.04;240;0;0;108.00;0
22;0;1674569496363;22;53;265;489;8.74;0.63;73.23;0.04;243;0;0;109.00;0
23;0;1674569496364;23;46;265;489;8.87;0.64;73.17;0.04;242;0;0;110.00;1
23;0;1674569496365;23;52;272;489;8.85;0.64;73.17;0.04;249;0;0;111.00;0
24;0;1674569496366;24;45;272;489;9.00;0.65;72.58;0.04;248;0;0;112.00;0
24;0;1674569496367;24;45;273;489;9.13;0.66;72.58;0.04;249;0;0;113.00;0
25;0;1674569496368;25;45;275;489;9.14;0.66;71.72;0.04;250;0;0;114.00;0
25;0;1674569496370;25;47;278;489;9.21;0.66;71.72;0.04;253;0;0;115.00;0
26;0;1674569496371;26;46;281;489;9.19;0.66;72.12;0.04;255;0;0;116.00;0
27;0;1674569496372;27;46;285;489;9.14;0.66;73.37;0.04;258;0;0;117.00;0
29;0;1674569496373;29;43;287;489;9.25;0.67;73.90;0.04;258;0;0;118.00;0
30;0;1674569496374;30;41;287;489;9.38;0.68;73.90;0.04;257;0;0;119.00;0
32;0;1674569496375;32;46;291;489;9.30;0.67;74.97;0.04;259;0;0;120.00;0
34;0;1674569496377;34;47;295;489;9.19;0.66;75.15;0.04;261;0;0;121.00;0
34;0;1674569496378;34;42;296;489;9.25;0.67;75.15;0.04;262;0;0;122.00;0
34;0;1674569496379;34;38;299;489;9.28;0.67;75.15;0.04;265;0;0;123.00;0
36;0;1674569496380;36;34;301;489;9.36;0.67;75.67;0.04;265;0;0;124.00;0
37;0;1674569496381;37;31;302;489;9.51;0.68;75.92;0.04;265;0;0;125.00;0
39;0;1674569496383;39;31;307;489;9.60;0.69;75.64;0.04;268;0;0;126.00;1
41;0;1674569496384;41;28;309;489;9.70;0.70;75.02;0.04;268;0;0;127.00;0
42;0;1674569496385;42;30;310;489;9.81;0.71;75.38;0.04;268;0;0;128.00;2
44;0;1674569496387;44;31;312;489;9.94;0.72;75.48;0.04;268;0;0;129.00;2
46;0;1674569496388;46;30;313;489;9.92;0.71;74.76;0.05;267;0;0;130.00;1
46;0;1674569496389;46;38;317;489;9.81;0.71;74.76;0.05;271;0;0;131.00;2
47;0;1674569496391;47;37;319;489;9.87;0.71;74.34;0.05;272;0;0;132.00;2
47;0;1674569496392;47;38;322;489;9.84;0.71;74.34;0.06;275;0;0;133.00;1
47;0;1674569496393;47;38;324;489;9.93;0.72;74.34;0.06;277;0;0;134.00;1
49;0;1674569496394;49;41;327;489;9.93;0.71;74.10;0.06;278;0;0;135.00;1
49;0;1674569496396;49;45;331;489;9.79;0.70;74.10;0.08;282;0;0;136.00;0
49;0;1674569496397;49;43;333;489;9.79;0.70;74.10;0.08;284;0;0;137.00;1
49;0;1674569496398;49;45;333;489;9.84;0.71;74.10;0.08;284;0;0;138.00;1
